ID,ACADEMYNAME,STATECODE,AGENCYCLETATYPE,ENTITY,ENTITY_OTHER,BASIC,POST,CALEA,ASSOCIATE,BACHELOR,CREDIT,TRAIN_INSERV,TRAIN_SPECIAL,TRAIN_FIRST,TRAIN_FIELD,TRAIN_LATERAL,TRAIN_PRE,TRAIN_NIGHT,TRAIN_RESERVE,POS_LOCAL,POS_SHER,POS_CAMP,POS_CORR,POS_RANGER,POS_SRO,POS_HWY,POS_AUX,POS_PRE,POS_NAT,POS_ARSON,POS_CONSTABLE,POS_TRANSPORT,POS_TRIBE,POS_MAR,RNO_SELF,RNO_LOCAL,RNO_SHER,RNO_STATE,RNO_SPECIAL,RNO_TOTAL,BASIC_LGTH,BASIC_TYPE,BASIC_TYPE_OTHER,FIELD_MAN,OVERSEE,FIELD_LGTH,FIELD_TYPE,FIELD_TYPE_OTHER,FAMILIES,PRESENT,FT_SWORN,PT_SWORN,FT_ONDUT,PT_ONDUT,FT_OFFDUT,PT_OFFDUT,FT_RET,PT_RET,FT_CIV,PT_CIV,FT_CIV_TEMP,PT_CIV_TEMP,FT_TOTAL,PT_TOTAL,MIN_ED,MIN_EXP,REQ_POST,REQ_ACAD,REQ_SME,REQ_CERT,REQ_CERT_OTHER,EVAL_POST,EVAL_SUPE,EVAL_PEER,EVAL_STUD,REFRESHER,CONT_JOB,CONT_POST,CONT_SME,CONT_LE,CONT_ACAD,CLAB_1,CLAB_2,NO_CLAB,TAB_1,TAB_2,NO_TAB,INT_1,INT_2,NO_INT,MEDIA_1,MEDIA_2,NO_MEDIA,MOBILE_1,MOBILE_2,NO_MOBILE,LIB_1,LIB_2,NO_LIB,SUBSC_1,SUBSC_2,NO_SUBSC,VIDEO_1,VIDEO_2,NO_VIDEO,DEF_1,DEF_2,NO_DEF,SIMU_1,SIMU_2,NO_SIMU,IN_FIRE_1,IN_FIRE_2,NO_IN_FIRE,OUT_FIRE_1,OUT_FIRE_2,NO_OUT_FIRE,SCENARIO_1,SCENARIO_2,NO_SCENARIO,FITNESS_1,FITNESS_2,NO_FITNESS,OBSTACLE_1,OBSTACLE_2,NO_OBSTACLE,SWIM_1,SWIM_2,NO_SWIM,DRIVE_SIM_1,DRIVE_SIM_2,NO_DRIVE_SIM,DRIVE_TRACK_1,DRIVE_TRACK_2,NO_DRIVE_TRACK,DORM_1,DORM_2,NO_DORM,OPBUDGET,OPBUDGET_EST,EBUDGET,EBUDGET_EST,MALE_START,MALE_COMP,FEM_START,FEM_COMP,SEX_START_TOTAL,SEX_COMP_TOTAL,WHITE_START,WHITE_COMP,BLK_START,BLK_COMP,HISP_START,HISP_COMP,AMI_START,AMI_COMP,ASIAN_START,ASIAN_COMP,HAPI_START,HAPI_COMP,TWO_START,TWO_COMP,DK_START,DK_COMP,ETH_START_TOTAL,ETH_COMP_TOTAL,ALL_COMPLETED,FAIL_INJ_M,FAIL_INJ_F,FAIL_FIRE_M,FAIL_FIRE_F,FAIL_DRIVE_M,FAIL_DRIVE_F,FAIL_OTHER_M,FAIL_OTHER_F,FAIL_PHYS_M,FAIL_PHYS_F,FAIL_ACAD_M,FAIL_ACAD_F,FAIL_DISC_M,FAIL_DISC_F,FAIL_VOL_M,FAIL_VOL_F,FAIL_WITH_M,FAIL_WITH_F,FAIL_ORNC_M,FAIL_ORNC_F,FAIL_DK_M,FAIL_DK_F,FAIL_TOTAL_M,FAIL_TOTAL_F,BEHAVE,COUNSEL,DEMERIT,EXTRA,PRIV,GRADE,PHYS,PROB,TERM,VERBAL,WRITTEN,ENVIRONMENT,CPR_YN,CPR,CPR_EST,COMP_YN,COMP,COMP_EST,EMV_YN,EMV,EMV_EST,EVID_YN,EVID,EVID_EST,INTEL_YN,INTEL,INTEL_EST,INTERO_YN,INTERO,INTERO_EST,INV_YN,INV,INV_EST,PAT_YN,PAT,PAT_EST,RAD_YN,RAD,RAD_EST,REP_YN,REP,REP_EST,TRAF_YN,TRAF,TRAF_EST,JUDO_YN,JUDO,JUDO_EST,DEF_TAC_YN,DEF_TAC,DEF_TAC_EST,FIRE_SKILL_YN,FIRE_SKILL,FIRE_SKILL_EST,NONL_YN,NONL,NONL_EST,CRIM_YN,CRIM,CRIM_EST,JJL_YN,JJL,JJL_EST,TRAF_LAW_YN,TRAF_LAW,TRAF_LAW_EST,STUDY_YN,STUDY,STUDY_EST,COM_PART_YN,COM_PART,COM_PART_EST,CULT_YN,CULT,CULT_EST,MEDI_YN,MEDI,MEDI_EST,PROB_SOLV_YN,PROB_SOLV,PROB_SOLV_EST,MAP_YN,MAP,MAP_EST,LANG_YN,LANG,LANG_EST,COMM_YN,COMM,COMM_EST,ETHIC_YN,ETHIC,ETHIC_EST,HEALTH_YN,HEALTH,HEALTH_EST,PROF_YN,PROF,PROF_EST,STRESS_YN,STRESS,STRESS_EST,CLAN_YN,CLAN,CLAN_EST,CHILD_YN,CHILD,CHILD_EST,CYBER_YN,CYBER,CYBER_EST,DOMV_YN,DOMV,DOMV_EST,DUI_YN,DUI,DUI_EST,ELDER_YN,ELDER,ELDER_EST,EMR_YN,EMR,EMR_EST,GANG_YN,GANG,GANG_EST,HATE_YN,HATE,HATE_EST,HTRAF_YN,HTRAF,HTRAF_EST,MENTAL_YN,MENTAL,MENTAL_EST,OPIOID_YN,OPIOID,OPIOID_EST,ACSH_YN,ACSH,ACSH_EST,SASS_YN,SASS,SASS_EST,SHAR_YN,SHAR,SHAR_EST,TERROR_YN,TERROR,TERROR_EST,VICTIM_YN,VICTIM,VICTIM_EST,REAL_ARREST,REAL_FIRE,REAL_LIVEF,REAL_NONL,REAL_SD,REAL_THR,REAL_FORCE,REAL_VERBAL,REV,SAP,SG,MAN,SAR,FAR,BAT,BLUNT,CHEM,CED,EXPL,FLASH,KNI,OC,WEAPON_OTHER,WEAPON_OTHER_SPEC,FTS,NIGHT,NONL_FIRE,SIMSTRESS,ODW,CLOSEDHAND,FBDY,HOLD,KNIFE_TECH,LEG,OPENHAND,PPC,CUFF,TKDN,VCP,WEAP_RET,TECH_OTHER,TECH_OTHER_SPECIFY,XSFORCE,SUBMIT,SUBMISSIONMODE,INELIG,REFUSAL,INELIG_REASON_1,INELIG_REASON_2,INELIG_REASON_3,INELIG_REASON_4,INELIG_REASON_5,INELIG_REASON_6,COMPLETE,ORIGSAMPTYPE,RESPONDENTID,Q25TOTSTART,R_MALE_START,R_MALE_COMP,R_FEM_START,R_FEM_COMP,R_SEX_START_TOTAL,R_SEX_COMP_TOTAL,R_WHITE_START,R_WHITE_COMP,R_BLK_START,R_BLK_COMP,R_HISP_START,R_HISP_COMP,R_AMI_START,R_AMI_COMP,R_ASIAN_START,R_ASIAN_COMP,R_HAPI_START,R_HAPI_COMP,R_TWO_START,R_TWO_COMP,R_DK_START,R_DK_COMP,R_ETH_START_TOTAL,R_ETH_COMP_TOTAL,R_SEX_START_TOTAL_FLAG,FINAL_WEIGHT
91,PUEBLO LAW ENFORCEMENT ACADEMY,CO,7,7, ,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1, ,0,1,0,0,1,18,2, ,3,2,-8,-8, ,2,-8,1,0,0,36,0,6,0,6,1,0,0,3,2,51,5, ,1,2,1,1,SKILLS LEAD-INST. TRAINING OF THE TRAINERS AKA INTRO TO INSTRUCTION,2,2,2,1,2,-8,-8,-8,-8,-8,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1, , , , ,23,22,12,11,35,33,20,18,3,3,11,11,0,0,0,0,1,1,0,0,0,0,35,33, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,2,2,2,2,2,2,1,2,3,1,8, ,1,8,1,1,4,1,1,20,1,1,8, ,1,6,1,1,31,1,1,90, ,1,2,1,1, , ,1,16, ,1,8, ,1,64, ,1,84, , ,50,1,1,44, ,1,12, ,1,50, ,1,2, ,1,2, ,1,4, ,1,8, ,1,2, ,1,4, ,2,-8,-8,1,8, ,1,4, ,1,32, ,1,4, ,1,4, ,1,4,1,1,12, ,1,4, ,1,12,1,1,24, ,1,2,1,1,8, ,1,3, ,1,4, , , , ,1,2, ,1,2, ,1,12, ,1,8, ,1,2, ,1,6,1,1,4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1, , ,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1, , , ,1,2,0,0, , , , , , ,1,7, , ,23,22,12,11,35,33,20,18,3,3,11,11,0,0,0,0,1,1,0,0,0,0,35,33,0,1.116161616
569,MANSFIELD UNIVERSITY,PA,6,6, ,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,-8,-8,-8,-8,-8,25,2, ,3,2,-8,-8, ,2,-8, ,0, ,0, ,13, ,4, ,0, ,7, ,24,5,3,1,2,1,2, ,1,1,2,1,1,2,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,100000,1,6000,1,14,11,3,2,17,13,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,3,1,1,1,2,1,1,2,1,2,2,1,1,3,1,40,0,1,2,0,1,40,0,1,18,0,1,4,0,1,12,0,1,22,0,1,46,0, ,0,0,1,4,0,1,22, ,2,-8,-8,1,66,0,1,126,0,1,8,0,1,66,0,1,8,0,1,48,0,2,-8,-8,1,4,0,1,17,0,1,20,0,1,4,0,2,-8,-8,2,-8,-8,1,2,0,1,12,0,1,72,0,1,8,0,1,8,0,1,4,0,1,4,0,1,2,0,1,8,0,1,12,0,1,4,0,1,8,0,1,8,0,1,2,0,1, ,0,1,16, ,1,12,0,1,22,0,1,4,0,2,-8,-8,1,4,0,2,-8,-8,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2, ,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,Kicks,1,1,1,0,0, , , , , , ,1,6, , ,14,11,3,2,17,13,16,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,1.19047619
731,RICHMOND POLICE DEPARTMENT,VA,5,3, ,1,1,1,2,2,3,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,32,2, ,1,1,8,2, ,1,2,8,20,3,0,0,0,0,0,1,0,0,0,12,20,6,2,2,1,2,2, ,2,1,1,1,1,1,2,1,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,300000,1,300000,1,48,43,13,10,61,53,31,30,25,22,4,1,0,0,1,0,0,0,0,0,0,0,61,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,5,3,1,1,2,1,1,2,1,2,1,1,1,2,1,8,1,1,40,1,1,80,1,1,16,1,1,24,1,1,24,1,1,80,1,1,160,1,2,-8,-8,1,40,1,1,40,1,1,8,1,1,80,1,1,120,1,1,40,1,1,48,1,1,16,1,1,40,1,2,-8,-8,1,80,1,1,16,1,1,8,1,1,12,1,1,8,1,2,-8,-8,1,4,1,1,40,1,1,160,1,1,16,1,1,8,1,1,2,1,1,8,1,1,8,1,1,16,1,1,40,1,1,8,1,1,8,1,1,8,1,1,8,1,1,8,1,1,24,1,1,4,1,1,24,1,1,40,1,1,8,1,1,8,1,1,8,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2, ,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,5,797,90,48,43,13,10,61,53,31,30,25,22,4,1,0,0,1,0,0,0,0,0,0,0,61,53,0,1.082644628
724,NORFOLK SHERIFF'S OFFICE,VA,3,4, ,1,1,1,2,2,3,1,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,-8,-8,-8,-8,-8,16,2, ,1,1,2,2, ,2,-8,5,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,2,1,2,2, ,2,1,1,1,1,1,2,2,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,50000,1,50000,1,34,30,20,16,54,46,14,11,29,26,9,7,0,0,1,1,0,0,0,0,1,1,54,46,0,3,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,1,2,2,2,2,2,2,2,2,1,3,1,8,0,1,4,0,1,56,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,2,-8,-8,1,4,0,1,8, ,1,40,0,1,120,0,1,60,0,1,24,0,1,24,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0,2,-8,-8,1,8,0,1,8,0,1,40,0,1,8,0,1,8,0,1,2,0,1,2,0,1,2,0,1,4,0,1,2,0,1,2,0,1,2,0,1,4,0,1,4,0,1,2,0,1,4, ,1,2,0,1,16,0,1,2,0,1,2,0,1,4,0,1,2,0,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,2, ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,3,790,133,34,30,20,16,54,46,14,11,29,26,9,7,0,0,1,1,0,0,0,0,1,1,54,46,0,1.119402985
551,COUNCIL ON LAW ENFORCEMENT EDUCATION AND TRAINING,OK,1,1, ,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,0,311,77,0,24,412,583,1, ,3,2,-8,-8, ,2,-8,8,0,0,3,0,0,0,0,0,0,0,0,8,3,5,4,1,1,2,1,"skills- firearms, defensive tactics, driver training",1,1,1,1,1,2,1,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2897155,0,0,0,220,210,101,94,321,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,304,321,304,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,10,7,1,1,2,1,2,2,2,2,1,1,1,5,1,10,0,2,-8,-8,1,52,0,1,16,0,2,-8,-8,1,2,0,1,70,1,1,70,1,1,20,0,1,15,0,1,2, ,1,5,0,1,70,0,1,70,0,2,-8,-8,1,46,1,1,4,1,1,16,1,2,-8,-8,1,5,0,1,5,0,2,-8,-8,2,-8,-8,2,-8,-8,2,-8,-8,1,2,0,1,16,0,1,13,0,1,4,0,2,-8,-8,1,2,0,1,6,0,1,4,1,1,10,0,1,27,0,1,2,0,2,-8,-8,1,3,0,1,2,0,1,6,0,1,6, ,1,2,0,1,10,0,1,6,0,2,-8,-8,1,4,0,1,4,0,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1,2, ,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,1,603, ,220,210,101,94,321,304,246,236,37,25,12,11,3,3,4,4,0,0,1,1,18,17,321,297,0,1
587,SOUTH CAROLINA CRIMINAL JUSTICE ACADEMY,SC,1,9,The SCCJA is a state run centralized training facility; we are both the POST and the training facility,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,0,150,35,5,2,192,12,2, ,3,2,-8,-8, ,2,-8,45,0,0,0,0,0,0,0,0,0,0,0,45,0,2,6,1,1,1,2, ,1,1,1,1,1,1,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,14500000,0,62945,0,1040,778,273,182,1313,960,946,751,303,166,39,27,3,1,8,8,0,0,0,0,14,7,1313,960,0,39,10,2,9,0,2,17,7,4,14,125,23,8,2,12,2,10,5,32,12,13,5,262,91,1,1,1,2,1,2,1,2,1,2,2,4,2,-8,-8,1,1,0,1,23,0,1,1,0,2,-8,-8,1,6,0,1,2,0,1,6,0,2,-8,-8,1,2,0,1,8, ,1,5,0,1,65,0,1,36,0,1,2,0,1,55,0,1,5,0,1,20,0,2,-8,-8,2,-8,-8,1,5,0,1,10,0,1,10,0,2,-8,-8,2,-8,-8,1,15,0,1,3,0,1,8,0,1,6,0,1,5,0,2,-8,-8,1,5,0,2,-8,-8,1,14,0,1,23,0,1,4,0,1,2,0,1,5,0,1,1,0,1,5,0,1,4, ,1,3,0,1,12,0,1,5,0,2,-8,-8,1,6,0,1,5,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1, , ,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1, , ,2,1,1,0,0, , , , , , ,1,1,848,2868,1040,778,273,182,1313,960,946,751,303,166,39,27,3,1,8,8,0,0,0,0,14,7,1313,960,0,1
87,HIGHLANDS RANCH LAW ENFORCEMENT TRAINING ACADEMY,CO,10,4, ,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,3,0,0,7,21,2, ,1,2,-8,-8, ,2,-8,2,0,0,50,0,57,0,0,1,0,0,13,3,120,6,0,1,1,1,2, ,2,2,2,1,2,-8,-8,-8,-8,-8,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,314446,0,25000,1,30,30,9,9,39,39,32,32,0,0,3,3,0,0,1,1,1,1,0,0,2,2,39,39,1,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1,1,2,1,1,2,1,2,1,1,1,3,1,8,0,2,-8,-8,1,55,0,1,35,0,2,-8,-8,1,8,0,1,24,0,1,12,0,2,-8,-8,1,24,0,1,16, ,1,8,0,1,64,0,1,108,0,1,16,0,1,56,0,1,4,0,1,10,0,2,-8,-8,1,4,0,1,6,0,1,2,0,1,2,0,2,-8,-8,2,-8,-8,1,10,0,1,8,0,1,24,0,1,4,0,1,4,0,2,-8,-8,1,4,0,2,-8,-8,1,8,0,1,24,0,1,3,0,1,8,0,1,4,0,1,8,0,1,4,0,1,8, ,1,2,0,1,8,0,1,8,0,1,2,0,1,2,0,1,4,0,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,10, , ,30,30,9,9,39,39,32,32,0,0,3,3,0,0,1,1,1,1,0,0,2,2,39,39,0,1.083333333
144,SEMINOLE STATE COLLEGE,FL,7,7, ,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,0,2,1,0,1,4,770,1, ,1,2,-8,-8, ,2,-8,0,0,0,0,0,35,0,6,1,0,0,0,1,41,1,10,2,2,2,1,FDLE Instructor Techniques,1,1,2,1,2,-8,-8,-8,-8,-8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1089382,0,5000,1,96,82,25,21,121,103,65,54,12,10,36,32,0,0,1,1,0,0,6,5,1,1,121,103,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,3,2,0,0,7,0,0,0,14,4,1,1,2,2,2,2,2,1,1,1,2,4,1,40,0,2,-8,-8,1,48,0,1,35,0,2,-8,-8,1,56,0,1,50,0,1,35,0,2,-8,-8,1,56,0,1,32, ,1,5,0,1,80,0,1,80,0,1,10,0,1,62,0,1,10,0,1,30,0,2,-8,-8,1,5,0,1,40,0,1,5,0,1,5,0,2,-8,-8,2,-8,-8,1,20,0,1,10,0,1,60,0,1,2,0,1,10,0,1,1,0,1,5,0,1,1,0,1,10,0,1,24,0,1,2,0,1,20,0,1,2,0,1,2,0,1,1,0,1,2, ,1,2,0,1,4,0,1,2,0,1,1,0,1,2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2, ,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,7,161, ,96,82,25,21,121,103,65,54,12,10,36,32,0,0,1,1,0,0,6,5,1,1,121,103,0,1.116161616
485,ROCHESTER POLICE DEPARTMENT,NY,5,7, ,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,0,4,1,0,1,6,6,3, ,1,2,-8,-8, ,1,1,5,0,2,0,0,20,0,2,0,0,0,0,7,22,6,3,1,2,1,2, ,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,21,19,4,4,25,23,17,15,2,2,5,5,0,0,1,1,0,0,0,0,0,0,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,2,1,1,2,1,2,2,1,1,3,1,16,1,2,-8,-8,1,24,1,1,8,1,1,8,1,1,24,1,1,32,1,1,32,1,1,16,1,1,40,1,1,24,1,1,80,1,1,120,1,1,120,1,1,40,1,1,40,1,1,16,1,1,16,1,2,-8,-8,1,8,1,1,24,1,1,24,1,1,8,1,2,-8,-8,2,-8,-8,1,8,1,1,16,1,1,80,1,1,16,1,1,8,1,1,2,1,1,4,1,2,-8,-8,1,24,1,1,8,1,1,4,1,1,4,1,1,4,1,1,8,1,1,2,1,1,16,1,1,4,1,1,8,1,1,8,1,1,8,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2, ,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2, ,1,1,1,0,0, , , , , , ,1,5, , ,21,19,4,4,25,23,17,15,2,2,5,5,0,0,1,1,0,0,0,0,0,0,25,23,0,1.082644628
82,COLORADO STATE PATROL,CO,2,2, ,1,1,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,-8,-8,-8,-8,-8,22,2, ,1,1,12,2, ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,1,1,Must complete a train-the-trainer course,2,1,2,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,3740000,0,759483,1,60,50,9,8,69,58,48,42,3,3,15,12,1,0,2,1,0,0,0,0,0,0,69,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0,10,1,1,1,1,1,1,2,1,1,1,1,1,3,1,4,0,1,18,0,1,70,1,1,10,0,1,16,1,1,4,0,1,30,1,1,24,1,1,8,0,1,30,0,1,80, ,1,8,0,1,80,0,1,90,1,1,28,1,1,80,1,1,4,0,1,20,0,1,1,1,1,4,0,1,7,0,1,8,0,1,2,0,1,1,1,2,-8,-8,1,8,0,1,8,0,1,81,1,1,4,1,1,4,0,1,2,1,1,6,1,1,8,0,1,8,0,1,40,0,1,1,1,1,8,0,1,4,0,1,4,0,1,4,1,1,3, ,1,2,1,1,16,0,1,6,0,1,4,0,1,12,0,1,4,0,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2, ,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,"Ground fighting, choke defense, weapon disarming, blunt object defense, sudden custody death",1,1,1,0,0, , , , , , ,1,2,90,172,60,50,9,8,69,58,48,42,3,3,15,12,1,0,2,1,0,0,0,0,0,0,69,58,0,1.161290323
